Localidad,Rubro,NomComercio,Direccion,Prefijo,NroTel,Dto,Provincia,ImgCooBUENOS AIRESp,ImgCoopLink,ImgComercio,Latitud,Longitud
AZUL,JOYERÍA Y RELOJERÍA,AMETYST JOYAS,H. YRIGOYEN 554,2281,423614,15,BUENOS AIRES,,,,-36.7787908,-59.8607554
AZUL,LIBRERÍA,L´ATELIER,AV. MITRE 534,2281,499311,15,BUENOS AIRES,,,,-36.7769849,-59.8595042
AZUL,LIBRERÍA,LA LIBRERÍA,H. YRIGOYEN 546,2281,429801,15,BUENOS AIRES,,,,-36.7785924,-59.8610941
AZUL,LIBRERÍA,LIBRERÍA IDEAS,H. YRIGOYEN 523,2281,427070,15,BUENOS AIRES,,,,-36.7785102,-59.8614943
AZUL,LIBRERÍA,LIBRERÍA KRAFT,BURGOS 813,2281,606018,15,BUENOS AIRES,,,,-36.7804272,-59.8659233
AZUL,LIBRERÍA,ND ARTÍSTICA,SAN MARTÍN 648,2281,681910,15,BUENOS AIRES,,,,-36.7805549,-59.8599386
AZUL,ÓPTICA,DI LORENZO FOTOS,SAN MARTÍN 750,2281,423201,15,BUENOS AIRES,,,,-36.7818119,-59.8584161
AZUL,ÓPTICA,ÓPTICA HESAYNE,MORENO 553,2281,582964,15,BUENOS AIRES,,,,-36.7782457,-59.8602694
AZUL,ÓPTICA,VISION CENTER,SAN MARTÍN 573,2281,423730,15,BUENOS AIRES,,,,-36.7797776,-59.8615714
BATAN,INDUMENTARIA,BATIK,COLECTORA Y EMILIO LARRAYA,223,155996403,15,BUENOS AIRES,,,,-38.0012221,-57.7172965
BATAN,INDUMENTARIA,JACINTA,COLECTORA Y EMILIO LARRAYA,223,4646139,15,BUENOS AIRES,,,,-38.0012221,-57.7172965
BATAN,INDUMENTARIA,MIMATE,CALLE 33 ENTRE 46 Y 48,223,155413802,15,BUENOS AIRES,,,,-38.0100753,-57.710544
BENITO JUÁREZ,DEPORTE,CENTER SPORT,AV. LIBERTAD 228,,,15,BUENOS AIRES,,,,-37.6706202,-59.8088736
BENITO JUÁREZ,FARMACIA,FARMACIA GARAMENDY,AV. LIBERTAD 52,2292,452258,10,BUENOS AIRES,,,,-37.6728988,-59.8060053
BENITO JUÁREZ,INDUMENTARIA,1986 DEPORTES,AV. SAN MARTÍN 23,2292,454823,15,BUENOS AIRES,,,,-37.673632,-59.8053535
BENITO JUÁREZ,INDUMENTARIA,CONFECCIONES SONIA,9 DE JULIO 360,2292,451234,15,BUENOS AIRES,,,,-37.6705716,-59.8134346
BENITO JUÁREZ,INDUMENTARIA,E! MAN,ZIBECHI 16,2292,454243,15,BUENOS AIRES,,,,-37.6743158,-59.8048962
BENITO JUÁREZ,INDUMENTARIA,GUAPA´S,GRAL. PAZ 213,,,15,BUENOS AIRES,,,,-37.6799557,-59.8061068
BENITO JUÁREZ,INDUMENTARIA,LA PULGA LOCA,AV. LIBERTAD 65,,,15,BUENOS AIRES,,,,-37.6724545,-59.8056919
BENITO JUÁREZ,INDUMENTARIA,LA SEÑORA DE LOS COLLARES,ZIBECHI 26,,,15,BUENOS AIRES,,,,-37.6743158,-59.8048962
BENITO JUÁREZ,INDUMENTARIA,LE MON,AV. LIBERTAD 73,2292,454126,15,BUENOS AIRES,,,,-37.6723682,-59.8057987
BENITO JUÁREZ,INDUMENTARIA,MASIVO,AV. LIBERTAD 7,2292,451669,15,BUENOS AIRES,,,,-37.6732749,-59.8046863
BENITO JUÁREZ,INDUMENTARIA,PASEO ALAK,PUMARÁ Y ZABALZA,,,15,BUENOS AIRES,,,,-37.6711739,-59.8102562
BENITO JUÁREZ,INDUMENTARIA,RODRIGGI,AV. ZABALZA 381,,,15,BUENOS AIRES,,,,-37.6692009,-59.8122283
BENITO JUÁREZ,INDUMENTARIA,TAYSIR MODAS,AV. MUÑIZ 129,,,15,BUENOS AIRES,,,,-37.6797406,-59.8027231
BENITO JUÁREZ,LIBRERÍA,LA LIBRERÍA,AV. LIBERTAD 125,2292,452915,15,BUENOS AIRES,,,,-37.6717171,-59.806677
BENITO JUÁREZ,MÚSICA,CHALA´S,AV. LIBERTAD 141,2292,451409,10,BUENOS AIRES,,,,-37.6714122,-59.8070424
BENITO JUÁREZ,ÓPTICA,ÓPTICA HORIZONTE,AV. LIBERTAD 45,2292,451512,15,BUENOS AIRES,,,,-37.6727547,-59.8053442
BENITO JUÁREZ,ZAPATERÍA,CALZADOS CARIOCA,AV. LIBERTAD 137,2292,454502,10,BUENOS AIRES,,,,-37.6716287,-59.8067838
